FID,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA
0,1,Soybeans,0,2.87E-05,1503.52881,0
1,2,Grass/Pasture,428,1.86E-06,17087.001,250.4828085
2,3,Corn,20,0.000197355,468771.8824,0.42664675
3,4,Grass/Pasture,892,1.77E-06,16242.1602,549.1880323
4,5,Developed/Open Space/Developed/Low Intensity,26,1.18E-06,10841.40997,23.98212047
5,6,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,6,2.35E-06,21583.60215,2.779888157
6,7,Grass/Pasture,148,2.74E-06,25180.86277,58.77479312
7,8,Corn,26,7.87E-05,723048.1597,0.359588772
8,9,Grass/Pasture,508,3.53E-06,32375.26909,156.9098927
9,10,Corn,12,2.84E-05,260801.7696,0.460119577
10,11,Grass/Pasture,364,2.06E-06,18885.68649,192.738559
11,12,Corn,0,1.08E-06,9940.181466,0
12,13,Corn,2,0.000152684,188695.8569,0.105990668
13,14,Soybeans,46,0.000106006,607701.7247,0.756950295
14,15,Grass/Pasture,930,3.50E-06,32100.93483,289.7111891
15,16,Corn,18,3.13E-05,287227.9311,0.62668
16,17,Soybeans,56,0.000144831,1330058.186,0.421034212
17,18,Corn,4,9.76E-07,8961.58929,4.463493997
18,19,Corn,44,0.000125363,694421.0358,0.633621358
19,20,Corn,8,0.000112269,252657.4245,0.316634273
20,21,Soybeans,136,0.000217896,2001025.788,0.679651411
21,22,Soybeans,22,3.06E-05,160288.9746,1.372521102
22,23,Grass/Pasture,2558,1.14E-05,104889.8185,243.8749572
23,24,Soybeans,6,0.000130836,170777.8376,0.351333644
24,25,Grass/Pasture,412,9.79E-07,8993.151056,458.1264091
25,26,Corn,30,4.11E-06,37771.32591,7.942532934
26,27,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,32,2.06E-06,18885.62884,16.94410087
27,28,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,24,1.47E-06,13489.73,17.79131235
28,29,Corn,14,1.59E-05,145825.2699,0.960053083
29,30,Soybeans,12,3.33E-05,306210.2939,0.391887544
30,31,Corn,10,6.86E-06,63026.88531,1.586624494
31,32,Grass/Pasture,726,1.15E-06,10575.55762,686.4886241
32,33,Grass/Pasture,768,1.76E-06,16187.62285,474.4365539
33,34,Grass/Pasture,238,1.57E-06,14389.07704,165.4032426
34,35,Grass/Pasture,6672,3.24E-05,297642.4656,224.161562
35,36,Soybeans,4,1.96E-06,17986.24069,2.223922202
36,37,Blank_/Developed/Med Intensity/Developed/High Intensity,0,1.76E-06,16187.62384,0
37,38,Corn,28,5.55E-05,312682.5467,0.895476908
38,39,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,16,2.04E-06,18746.01781,8.535146057
39,40,Corn,76,9.59E-05,880454.4761,0.863190569
40,41,Developed/Open Space/Developed/Low Intensity,28,2.21E-06,20296.31073,13.79561063
41,42,Grass/Pasture,716,2.27E-06,20859.6744,343.2460096
42,43,Corn,0,1.57E-06,127.861473,0
43,44,Grass/Pasture,878,2.59E-06,23766.2881,369.4308494
44,45,Corn,68,6.63E-05,608714.5231,1.117108224
45,46,Soybeans,62,9.80E-05,627346.9536,0.988288851
46,47,Grass/Pasture,538,1.03E-06,9456.408877,568.9263303
47,48,Soybeans,14,4.78E-05,438782.0948,0.319064979
48,49,Corn,52,6.00E-05,550975.1875,0.943781157
49,50,Soybeans,24,6.26E-05,574874.6801,0.417482294
50,51,Developed/Open Space/Developed/Low Intensity,32,8.94E-07,8192.667847,39.05931572
51,52,Grass/Pasture,844,2.75E-06,25278.09741,333.885888
52,53,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,6,2.31E-06,21224.62109,2.82690559
53,54,Developed/Open Space/Developed/Low Intensity,18,8.93E-07,8207.668432,21.93071047
