FID,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA,lnEggDensity,log10EggDensity
0,1,Corn,0,13992.19472,13992.19472,0,#NAME?,#NAME?
1,2,Developed/Open Space/Developed/Low Intensity,0,8992.922407,8992.922407,0,#NAME?,#NAME?
2,3,Grass/Pasture,52,14388.6373,14388.6373,36.13962804,3.587389993,1.557983678
3,4,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,0,13489.34307,13489.34307,0,#NAME?,#NAME?
4,5,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,13734.61226,13734.61226,0,#NAME?,#NAME?
5,6,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,49461.10442,49461.10442,0,#NAME?,#NAME?
6,7,Soybeans,2,89851.05449,89851.05449,0.222590599,-1.502421076,-0.652493183
7,8,Corn,6,118633.595,118633.595,0.505758929,-0.681695147,-0.296056441
8,9,Grass/Pasture,32,16234.01961,16234.01961,19.71169234,2.981211979,1.294723912
9,10,Developed/Open Space/Developed/Low Intensity,2,15287.95079,15287.95079,1.308219805,0.268667285,0.11668072
10,11,Soybeans,2,338940.7255,338940.7255,0.059007368,-2.830092968,-1.229093759
11,12,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,49474.08903,49474.08903,0,#NAME?,#NAME?
12,13,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,4,9641.003923,9641.003923,4.148945516,1.42285421,0.617937732
13,14,Developed/Open Space/Developed/Low Intensity,2,17986.04871,17986.04871,1.11197297,0.106135888,0.04609423
14,15,Soybeans,2,8992.925227,8992.925227,2.223970454,0.799294091,0.347129013
15,16,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,15770.06141,15770.06141,1.268225879,0.237618978,0.103196611
16,17,Grass/Pasture,176,87231.44593,87231.44593,20.17621032,3.004504204,1.304839597
17,18,Developed/Open Space/Developed/Low Intensity,8,10835.16236,10835.16236,7.383368827,1.999230015,0.868254564
18,19,Corn,0,8993.09076,8993.09076,0,#NAME?,#NAME?
19,20,Grass/Pasture,290,62087.01331,62087.01331,46.70864075,3.843929174,1.669397229
20,21,Grass/Pasture,84,11691.23317,11691.23317,71.84870815,4.274562633,1.856418964
21,22,Soybeans,0,136367.8396,136367.8396,0,#NAME?,#NAME?
22,23,Corn,10,644685.1379,644685.1379,0.15511448,-1.863591853,-0.809347658
23,24,Grass/Pasture,38,20943.74839,20943.74839,18.14383906,2.898331057,1.258729185
24,25,Soybeans,0,43166.09093,43166.09093,0,#NAME?,#NAME?
25,26,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,9892.623054,9892.623054,0,#NAME?,#NAME?
26,27,Soybeans,4,113907.4502,113907.4502,0.351162281,-1.046506824,-0.454492139
27,28,Corn,10,29349.23598,29349.23598,3.407243721,1.225903671,0.5324032
28,29,Soybeans,0,99081.54534,99081.54534,0,#NAME?,#NAME?
29,30,Soybeans,2,521090.7383,521090.7383,0.038381031,-3.260191915,-1.415883359
30,31,Grass/Pasture,30,13489.41701,13489.41701,22.23965645,3.101877022,1.347128074
31,32,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,39568.73799,39568.73799,0,#NAME?,#NAME?
32,33,Developed/Open Space/Developed/Low Intensity,6,17413.80867,17413.80867,3.445541474,1.237081069,0.537257482
33,34,Soybeans,0,24281.01753,24281.01753,0,#NAME?,#NAME?
34,35,Corn,0,8992.938265,8992.938265,0,#NAME?,#NAME?
