,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA,lnEggDensity,log10EggDensity,ProbEggs
1,1,Corn,0,13992.19472,13992.19472,0,#NAME?,#NAME?,0.002
2,2,Developed/Open Space/Developed/Low Intensity,0,8992.922407,8992.922407,0,#NAME?,#NAME?,0.01
3,3,Grass/Pasture,52,14388.6373,14388.6373,36.13962804,3.587389993,1.557983678,0.075
4,4,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,0,13489.34307,13489.34307,0,#NAME?,#NAME?,0
5,5,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,13734.61226,13734.61226,0,#NAME?,#NAME?,0.005
6,6,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,49461.10442,49461.10442,0,#NAME?,#NAME?,0.005
7,7,Soybeans,2,89851.05449,89851.05449,0.222590599,-1.502421076,-0.652493183,0.002
8,8,Corn,6,118633.595,118633.595,0.505758929,-0.681695147,-0.296056441,0.002
9,9,Grass/Pasture,32,16234.01961,16234.01961,19.71169234,2.981211979,1.294723912,0.075
10,10,Developed/Open Space/Developed/Low Intensity,2,15287.95079,15287.95079,1.308219805,0.268667285,0.11668072,0.01
11,11,Soybeans,2,338940.7255,338940.7255,0.059007368,-2.830092968,-1.229093759,0.002
12,12,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,49474.08903,49474.08903,0,#NAME?,#NAME?,0.002
13,13,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,4,9641.003923,9641.003923,4.148945516,1.42285421,0.617937732,0.002
14,14,Developed/Open Space/Developed/Low Intensity,2,17986.04871,17986.04871,1.11197297,0.106135888,0.04609423,0.01
15,15,Soybeans,2,8992.925227,8992.925227,2.223970454,0.799294091,0.347129013,0.002
16,16,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,2,15770.06141,15770.06141,1.268225879,0.237618978,0.103196611,0.005
17,17,Grass/Pasture,176,87231.44593,87231.44593,20.17621032,3.004504204,1.304839597,0.075
18,18,Developed/Open Space/Developed/Low Intensity,8,10835.16236,10835.16236,7.383368827,1.999230015,0.868254564,0.01
19,19,Corn,0,8993.09076,8993.09076,0,#NAME?,#NAME?,0.002
20,20,Grass/Pasture,290,62087.01331,62087.01331,46.70864075,3.843929174,1.669397229,0.075
21,21,Grass/Pasture,84,11691.23317,11691.23317,71.84870815,4.274562633,1.856418964,0.075
22,22,Soybeans,0,136367.8396,136367.8396,0,#NAME?,#NAME?,0.002
23,23,Corn,10,644685.1379,644685.1379,0.15511448,-1.863591853,-0.809347658,0.002
24,24,Grass/Pasture,38,20943.74839,20943.74839,18.14383906,2.898331057,1.258729185,0.075
25,25,Soybeans,0,43166.09093,43166.09093,0,#NAME?,#NAME?,0.002
26,26,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,0,9892.623054,9892.623054,0,#NAME?,#NAME?,0.005
27,27,Soybeans,4,113907.4502,113907.4502,0.351162281,-1.046506824,-0.454492139,0.002
28,28,Corn,10,29349.23598,29349.23598,3.407243721,1.225903671,0.5324032,0.002
29,29,Soybeans,0,99081.54534,99081.54534,0,#NAME?,#NAME?,0.002
30,30,Soybeans,2,521090.7383,521090.7383,0.038381031,-3.260191915,-1.415883359,0.002
31,31,Grass/Pasture,30,13489.41701,13489.41701,22.23965645,3.101877022,1.347128074,0.075
32,32,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,39568.73799,39568.73799,0,#NAME?,#NAME?,0.002
33,33,Developed/Open Space/Developed/Low Intensity,6,17413.80867,17413.80867,3.445541474,1.237081069,0.537257482,0.01
34,34,Soybeans,0,24281.01753,24281.01753,0,#NAME?,#NAME?,0.002
35,35,Corn,0,8992.938265,8992.938265,0,#NAME?,#NAME?,0.002
36,36,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,8,95352.90847,95352.90847,0.838988567,-0.1755582,-0.076243958,0.005
37,37,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,0,9892.511841,9892.511841,0,#NAME?,#NAME?,0
38,38,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,0,9892.524737,9892.524737,0,#NAME?,#NAME?,0.002
39,39,Soybeans,0,24280.93267,24280.93267,0,#NAME?,#NAME?,0.002
40,40,Developed/Open Space/Developed/Low Intensity,0,30399.19112,30399.19112,0,#NAME?,#NAME?,0.01
41,41,Developed/Open Space/Developed/Low Intensity,0,17336.61414,17336.61414,0,#NAME?,#NAME?,0.01
42,42,Soybeans,4,135792.6903,135792.6903,0.294566666,-1.222249933,-0.530816401,0.002
43,43,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,4,27663.12597,27663.12597,1.445968183,0.36877912,0.160158737,0.005
44,44,Grass/Pasture,242,31527.28264,31527.28264,76.75891474,4.340669533,1.885128826,0.075
45,45,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,4,20684.0742,20684.0742,1.933854985,0.659515412,0.286423904,0.005
46,46,Corn,4,523081.1406,523081.1406,0.076469972,-2.570857142,-1.116509071,0.002
47,47,Grass/Pasture,238,61714.75495,61714.75495,38.5645216,3.652332724,1.586187948,0.075
48,48,Grass/Pasture,154,23044.72874,23044.72874,66.82656226,4.20210064,1.82494912,0.075
49,49,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,4,12590.05081,12590.05081,3.17711188,1.15597257,0.502032509,0.002
50,50,Corn,24,148621.8025,148621.8025,1.614837096,0.479234082,0.208128718,0.002
51,51,Grass/Pasture,292,75351.39344,75351.39344,38.75177175,3.657176477,1.588291564,0.075
52,52,Corn,2,112879.1338,112879.1338,0.177180665,-1.73058536,-0.751583672,0.002
53,53,Grass/Pasture,166,28444.27881,28444.27881,58.35971483,4.066625837,1.766113161,0.075
