FID,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA,lnEggDensity,log10EggDensity,ProbEggs
0,1,Corn,518,13992.19472,13992.19472,370.2063975,5.914060681,2.568443919,0.1
1,2,Developed/Open Space/Developed/Low Intensity,106,8992.922407,8992.922407,117.870471,4.769586318,2.071405019,0.1
2,3,Grass/Pasture,470,14388.6373,14388.6373,326.646638,5.788878969,2.514078193,0.1
3,4,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,170,13489.34307,13489.34307,126.0254107,4.836483559,2.100458121,0.1
4,5,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,128,13734.61226,13734.61226,93.19520462,4.534696268,1.969393566,0.1
5,6,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,444,49461.10442,49461.10442,89.76750625,4.497223064,1.953119161,0.1
6,7,Soybeans,1344,89851.05449,89851.05449,149.5808822,5.007837265,2.17487609,0.1
7,8,Corn,1066,118633.595,118633.595,89.85650313,4.498213988,1.953549513,0.1
8,9,Grass/Pasture,250,16234.01961,16234.01961,153.9975964,5.036936995,2.187513942,0.1
9,10,Developed/Open Space/Developed/Low Intensity,172,15287.95079,15287.95079,112.5069032,4.723014582,2.051179171,0.1
10,11,Soybeans,3404,338940.7255,338940.7255,100.4305397,4.609466342,2.001865797,0.1
11,12,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,830,49474.08903,49474.08903,167.7645847,5.122561715,2.224700286,0.1
12,13,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,162,9641.003923,9641.003923,168.0322934,5.124156184,2.225392755,0.1
13,14,Developed/Open Space/Developed/Low Intensity,214,17986.04871,17986.04871,118.9811078,4.778964722,2.075478008,0.1
14,15,Soybeans,98,8992.925227,8992.925227,108.9745522,4.691114389,2.037325093,0.1
15,16,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,218,15770.06141,15770.06141,138.2366209,4.928966861,2.140623109,0.1
16,17,Grass/Pasture,662,87231.44593,87231.44593,75.89006383,4.329285765,1.880184918,0.1
