FID,PolygonID,HabType,CumEggs,PolygonAreaLL,PolygonAream2,EggDensityperHA,lnEggDensity,log10EggDensity,ProbEggs
0,1,Corn,134,13992.19472,13992.19472,95.76767811,4.561925239,1.981218958,0.1
1,2,Developed/Open Space/Developed/Low Intensity,28,8992.922407,8992.922407,31.13559612,3.438351734,1.493257185,0.1
2,3,Grass/Pasture,80,14388.6373,14388.6373,55.59942775,4.018172909,1.745070322,0.1
3,4,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,114,13489.34307,13489.34307,84.51115774,4.43688357,1.926914051,0.1
4,5,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,34,13734.61226,13734.61226,24.75497623,3.209026529,1.393662514,0.1
5,6,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,170,49461.10442,49461.10442,34.37044158,3.537196939,1.536185112,0.1
6,7,Soybeans,472,89851.05449,89851.05449,52.53138126,3.961410729,1.72041882,0.1
7,8,Corn,480,118633.595,118633.595,40.46071435,3.700331487,1.607033546,0.1
8,9,Grass/Pasture,58,16234.01961,16234.01961,35.72744237,3.575919087,1.553001927,0.1
9,10,Developed/Open Space/Developed/Low Intensity,34,15287.95079,15287.95079,22.23973668,3.10188063,1.347129641,0.1
10,11,Soybeans,1356,338940.7255,338940.7255,40.00699526,3.68905432,1.602135935,0.1
11,12,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,264,49474.08903,49474.08903,53.3612655,3.977085118,1.727226121,0.1
12,13,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,58,9641.003923,9641.003923,60.15970999,4.097002859,1.779305734,0.1
13,14,Developed/Open Space/Developed/Low Intensity,30,17986.04871,17986.04871,16.67959455,2.814186089,1.222185489,0.1
14,15,Soybeans,34,8992.925227,8992.925227,37.80749772,3.632507435,1.577577935,0.1
15,16,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,60,15770.06141,15770.06141,38.04677638,3.63881636,1.580317866,0.1
16,17,Grass/Pasture,254,87231.44593,87231.44593,29.1179399,3.371354476,1.464160645,0.1
17,18,Developed/Open Space/Developed/Low Intensity,140,10835.16236,10835.16236,129.2089545,4.861430896,2.111292612,0.1
18,19,Corn,54,8993.09076,8993.09076,60.04609699,4.09511255,1.778484783,0.1
19,20,Grass/Pasture,286,62087.01331,62087.01331,46.06438364,3.830040062,1.663365264,0.1
20,21,Grass/Pasture,136,11691.23317,11691.23317,116.3264799,4.75640072,2.065678586,0.1
21,22,Soybeans,596,136367.8396,136367.8396,43.70531951,3.777469823,1.640534299,0.1
22,23,Corn,1638,644685.1379,644685.1379,25.40775184,3.235054318,1.404966239,0.1
23,24,Grass/Pasture,124,20943.74839,20943.74839,59.20621165,4.081026463,1.772367273,0.1
24,25,Soybeans,110,43166.09093,43166.09093,25.48296536,3.238010204,1.406249964,0.1
25,26,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,130,9892.623054,9892.623054,131.4110517,4.87833021,2.118631891,0.1
26,27,Soybeans,316,113907.4502,113907.4502,27.74182017,3.322941028,1.443134952,0.1
27,28,Corn,86,29349.23598,29349.23598,29.302296,3.377665875,1.466901651,0.1
28,29,Soybeans,322,99081.54534,99081.54534,32.49848384,3.481193437,1.5118631,0.1
29,30,Soybeans,1200,521090.7383,521090.7383,23.02861885,3.13673774,1.362267892,0.1
30,31,Grass/Pasture,64,13489.41701,13489.41701,47.44460042,3.859562724,1.676186793,0.1
31,32,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,90,39568.73799,39568.73799,22.74522883,3.124355402,1.35689031,0.1
32,33,Developed/Open Space/Developed/Low Intensity,74,17413.80867,17413.80867,42.49501152,3.749386693,1.628337951,0.1
33,34,Soybeans,64,24281.01753,24281.01753,26.35803871,3.271773303,1.420913091,0.1
34,35,Corn,30,8992.938265,8992.938265,33.35950845,3.507342843,1.523219643,0.1
35,36,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,486,95352.90847,95352.90847,50.96855542,3.931208882,1.707302325,0.1
36,37,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,26,9892.511841,9892.511841,26.28250582,3.26890354,1.419666769,0.1
37,38,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,34,9892.524737,9892.524737,34.36938588,3.537166223,1.536171772,0.1
38,39,Soybeans,74,24280.93267,24280.93267,30.47658877,3.416958808,1.483966355,0.1
39,40,Developed/Open Space/Developed/Low Intensity,116,30399.19112,30399.19112,38.15891007,3.641759284,1.581595961,0.1
40,41,Developed/Open Space/Developed/Low Intensity,70,17336.61414,17336.61414,40.37697294,3.698259646,1.606133757,0.1
41,42,Soybeans,256,135792.6903,135792.6903,18.8522666,2.936633151,1.275363573,0.1
42,43,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,222,27663.12597,27663.12597,80.25123417,4.385162141,1.90445172,0.1
43,44,Grass/Pasture,150,31527.28264,31527.28264,47.57783971,3.862367101,1.677404719,0.1
44,45,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,130,20684.0742,20684.0742,62.85028701,4.140755502,1.798307265,0.1
45,46,Corn,996,523081.1406,523081.1406,19.04102294,2.946595754,1.279690276,0.1
46,47,Grass/Pasture,234,61714.75495,61714.75495,37.91637837,3.635383166,1.578826849,0.1
47,48,Grass/Pasture,76,23044.72874,23044.72874,32.97934242,3.495881378,1.518241992,0.1
48,49,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,38,12590.05081,12590.05081,30.18256286,3.407264369,1.479756114,0.1
49,50,Corn,526,148621.8025,148621.8025,35.39184636,3.566481465,1.54890322,0.1
50,51,Grass/Pasture,250,75351.39344,75351.39344,33.17788678,3.501883593,1.520848721,0.1
51,52,Corn,308,112879.1338,112879.1338,27.28582242,3.306367242,1.435937048,0.1
52,53,Grass/Pasture,92,28444.27881,28444.27881,32.34393834,3.476426626,1.5097929,0.1
53,54,Corn,1100,534706.3123,534706.3123,20.57204066,3.023932905,1.313277374,0.1
54,55,Soybeans,528,164373.6472,164373.6472,32.12193737,3.469539204,1.506801731,0.1
55,56,Soybeans,1128,464746.7719,464746.7719,24.27128209,3.189293844,1.385092718,0.1
56,57,Grass/Pasture,366,117807.509,117807.509,31.06762914,3.436166414,1.492308112,0.1
57,58,Grass/Pasture,46,8992.903697,8992.903697,51.1514429,3.934790701,1.708857889,0.1
58,59,Corn,132,27879.89655,27879.89655,47.34594325,3.85748114,1.675282773,0.1
59,60,Soybeans,1104,578787.6468,578787.6468,19.0743532,2.948344668,1.28044982,0.1
60,61,Soybeans,1232,559827.9719,559827.9719,22.00676032,3.091349694,1.342556114,0.1
61,62,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,144,31265.10105,31265.10105,46.05774335,3.8298959,1.663302655,0.1
62,63,Soybeans,310,94276.85503,94276.85503,32.88187752,3.492921671,1.516956607,0.1
63,64,Soybeans,150,31613.85289,31613.85289,47.44755425,3.85962498,1.676213831,0.1
64,65,Blank_/Developed/Med Intensity/Developed/High Intensity,112,11691.27792,11691.27792,95.79791086,4.562240877,1.981356038,0.1
65,66,Corn,350,89031.07045,89031.07045,39.31211859,3.671532832,1.594526449,0.1
66,67,Developed/Open Space/Developed/Low Intensity,56,10046.81411,10046.81411,55.73906254,4.020681203,1.74615966,0.1
67,68,Developed/Open Space/Developed/Low Intensity,90,8418.651817,8418.651817,106.9054784,4.671945065,2.028999961,0.1
68,69,Developed/Open Space/Developed/Low Intensity,26,15386.76981,15386.76981,16.8976337,2.827173594,1.227825891,0.1
69,70,Soybeans,436,224823.7807,224823.7807,19.39296629,2.964910438,1.287644243,0.1
70,71,Soybeans,182,37627.48943,37627.48943,48.36889273,3.878856895,1.684566146,0.1
71,72,Corn,486,116090.3319,116090.3319,41.86395129,3.734425106,1.621840216,0.1
72,73,Grass/Pasture,178,37770.38667,37770.38667,47.12686729,3.852843269,1.673268571,0.1
73,74,Soybeans,1360,758554.6022,758554.6022,17.9288346,2.886410288,1.253552061,0.1
74,75,Grass/Pasture,16,11690.95392,11690.95392,13.68579511,2.616358442,1.136270034,0.1
75,76,Corn,1316,580045.6208,580045.6208,22.68787062,3.121830448,1.355793737,0.1
76,77,Corn,658,514137.3418,514137.3418,12.79813673,2.549299593,1.107146746,0.1
77,78,Grass/Pasture,108,31546.81258,31546.81258,34.23483743,3.533243764,1.53446827,0.1
78,79,Grass/Pasture,68,23381.56654,23381.56654,29.08273912,3.370144841,1.463635308,0.1
79,80,Grass/Pasture,130,29676.58654,29676.58654,43.80557711,3.779761141,1.641529406,0.1
80,81,Wetlands/Herbaceous Wetlands,48,8993.481945,8993.481945,53.37198684,3.977286017,1.72731337,0.1
81,82,Soybeans,1484,535462.0462,535462.0462,27.71438257,3.321951505,1.442705208,0.1
82,83,Corn,292,55034.31177,55034.31177,53.05780896,3.971382054,1.724749312,0.1
