"","MeanEggDensity","SD","Median","Cumulative Eggs","Proportion of Eggs"
"Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow",0,0,0,0,0
"Blank_/Developed/Med Intensity/Developed/High Intensity",0,0,0,0,0
"Corn",0.220538880539377,0.471402427419859,0.0930116862198759,7254,0.00439155687774472
"Corn_nonGMO",53.4210161226623,32.7704319109878,44.4783650046582,313368,0.189712351208314
"Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other",1.41163677229562,1.99664314174729,0.911665902818582,1356,0.000820919647948972
"Developed/Open Space/Developed/Low Intensity",3.61129838947405,3.67844835916678,2.5953522017727,15980,0.00967425956801222
"Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands",0.488278131500175,0.866232486710988,0,2032,0.00123016867598253
"Grass/Pasture",46.3630390960699,33.8588687721227,38.301207149328,375594,0.227383845318397
"MWROW0",0,0,0,0,0
"MWROW1-5",55.5327911347602,39.3370861326656,48.000018297607,31072,0.0188109257382526
"MWROW20-60",140.712401282011,92.781032259377,121.894983923728,243526,0.147430146155178
"MWROW5-20",114.390942525878,76.0649324190523,97.0085779293403,203922,0.123453964932928
"MWROW60-100",156.54251363307,100.140408888492,136.131643071087,359408,0.217584873768469
"RailroadROW",27.9992194711445,0.935280431537446,27.9992194711445,19456,0.0117786229133445
"Soybeans",0.208910185537941,0.39808260231378,0.0966877641569845,5960,0.00360817190396451
"Soybeans_nonGMO",45.835635843374,17.4397573356137,41.1989757463181,72706,0.0440160648405442
"Wetlands/Herbaceous Wetlands",6.07091589847611,6.48174309406732,4.80999252612252,172,0.000104128450919781
