"","MeanCumEggs","SDCumEggs","MedianCumEggs","MeanProportionofCumEggs","SDPropCumEggs","No. Sim Polygons","No. Map Polygons","Run"
"MWROW60-100",7.15978835978836,9.0485388313066,4,4.50040753764385,5.68761397889687,3780,189,"Run7"
"MWROW20-60",8.00692307692308,13.1881630403441,4,5.0328885656872,8.28964563921762,2600,130,"Run7"
"MWROW5-20",5.94592592592593,7.66145004129465,4,3.73741352546069,4.81573557519841,2700,135,"Run7"
"MWROW1-5",3.41372549019608,4.80985587847528,2,2.1457555943706,3.02331724943761,1020,51,"Run7"
"Grass/Pasure",84.936,82.6712277881489,64,53.3879767681593,51.9644154251307,500,25,"Run7"
"Corn_nonGMO",169.15,205.27702623528,92,106.322128076836,129.030388853796,200,10,"Run7"
"Corn",1.46923076923077,2.67664675850634,0,0.923510150875449,1.68245213996074,520,26,"Run7"
"Soybeans_nonGMO",532.1,89.3789125017753,556,334.460563698992,56.1806454766898,20,1,"Run7"
"Soybeans",1.67142857142857,2.72495397202592,0,334.460563698992,56.1806454766898,420,21,"Run7"
"Developed/Open Space/Developed/Low Intensity",6.65,10.5622361899994,2,4.1799713373394,6.63907436577541,480,24,"Run7"
"Other",0.4,0.969535971483266,0,0.251426847358761,0.609418431777378,160,8,"Run7"
"Forest",0.2,0.6,0,0.12571342367938,0.377140271038141,60,3,"Run7"
"MWROW0",0,0,0,0,0,2000,100,"Run7"
"High Intensity",0,0,0,0,0,20,1,"Run7"
