"run","mindir","randomSeed","remembered","maxdir","savecoords","numAgents","steplength","eggsperlay","perception"
1,0.5,517797303,0,0.75,"false",50,10,2,50
2,0.5,517798080,0,0.75,"false",50,10,2,50
3,0.5,517797242,0,0.75,"false",50,10,2,50
4,0.5,517801919,0,0.75,"false",50,10,2,50
5,0.5,517799198,0,0.75,"false",50,10,2,50
6,0.5,517800441,0,0.75,"false",50,10,2,50
7,0.5,517800889,0,0.75,"false",50,10,2,50
8,0.5,517797695,0,0.75,"false",50,10,2,50
9,0.5,517797712,0,0.75,"false",50,10,2,50
10,0.5,517798434,0,0.75,"false",50,10,2,50
11,0.5,517797896,0,0.75,"false",50,10,2,50
12,0.5,517799939,0,0.75,"false",50,10,2,50
13,0.5,517798600,0,0.75,"false",50,10,2,50
14,0.5,517799945,0,0.75,"false",50,10,2,50
15,0.5,517799147,0,0.75,"false",50,10,2,50
16,0.5,517798767,0,0.75,"false",50,10,2,50
17,0.5,517802611,0,0.75,"false",50,10,2,50
18,0.5,517801269,0,0.75,"false",50,10,2,50
19,0.5,517800674,0,0.75,"false",50,10,2,50
20,0.5,517797663,0,0.75,"false",50,10,2,50
