"","StepLength","Remembered","Perception","Directionality"
"1",40,10,100,"0.5-0.75"
"2",50,40,200,"0.1-0.2"
"3",40,0,50,"0.5-0.75"
"4",30,10,100,"0.1-0.2"
"5",30,100,400,"0.8-0.9"
"6",20,40,100,"0.1-0.9"
"7",50,100,200,"0.8-0.9"
"8",40,0,200,"0.1-0.2"
"9",30,0,50,"0.5-0.75"
"10",20,100,400,"0.1-0.9"
"11",40,100,50,"0.1-0.2"
"12",30,0,200,"0.8-0.9"
"13",30,40,200,"0.5-0.75"
"14",20,10,50,"0.1-0.9"
"15",50,10,400,"0.8-0.9"
"16",50,100,100,"0.1-0.9"
"17",20,10,400,"0.1-0.2"
"18",30,40,50,"0.5-0.75"
"19",50,100,200,"0.8-0.9"
"20",40,0,400,"0.8-0.9"
"21",50,100,50,"0.8-0.9"
"22",30,40,400,"0.5-0.75"
"23",20,10,200,"0.1-0.9"
"24",30,10,100,"0.1-0.2"
"25",40,40,100,"0.1-0.2"
