FID,OBJECTID_1,CLASS_NAME,Shape_Leng,Shape_Area,Area_m_2,ProbEggs,ORIG_FID
0,1,Corn,592.0245499,13992.19472,13992.19472,0.002,0
1,2,Developed/Open Space/Developed/Low Intensity,420.251152,8992.922407,8992.922407,0.01,1
2,3,Grass/Pasture,841.3147089,14388.6373,14388.6373,0.075,2
3,4,Barren/Clouds/No Data/Developed/Water/Nonag/Undefined/Aquaculture/Open Water/Perennial Ice/Snow,539.3925816,13489.34307,13489.34307,0,3
4,5,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,588.9943618,13734.61226,13734.61226,0.005,4
5,6,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,1321.13836,49461.10442,49461.10442,0.005,5
6,7,Soybeans,1570.047342,89851.05449,89851.05449,0.002,6
7,8,Corn,1529.670006,118633.595,118633.595,0.002,7
8,9,Grass/Pasture,764.5532496,16234.01961,16234.01961,0.075,8
9,10,Developed/Open Space/Developed/Low Intensity,659.3487507,15287.95079,15287.95079,0.01,9
10,11,Soybeans,3582.140403,338940.7255,338940.7255,0.002,10
11,12,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,1635.203866,49474.08903,49474.08903,0.002,11
12,13,Forest/Deciduous Forest/Evergreen Forest/Mixed Forest/Woody Wetlands,677.072271,9641.003923,9641.003923,0.002,12
13,14,Developed/Open Space/Developed/Low Intensity,959.6502575,17986.04871,17986.04871,0.01,13
14,15,Soybeans,420.2517033,8992.925227,8992.925227,0.002,14
15,16,Cotton/Rice/Sorghum/Sunflower/Peanuts/Tobacco/Sweet Corn/Pop or Orn Corn/Mint/Barley/Durum Wheat/Spring Wheat/Winter Wheat/Other,614.1477441,15770.06141,15770.06141,0.005,15
16,17,Grass/Pasture,2035.99118,87231.44593,87231.44593,0.075,16
17,18,Developed/Open Space/Developed/Low Intensity,1524.312565,10835.16236,10835.16236,0.01,17
18,19,Corn,539.3983393,8993.09076,8993.09076,0.002,18
19,20,Grass/Pasture,1254.647519,62087.01331,62087.01331,0.075,19
20,21,Grass/Pasture,540.2168046,11691.23317,11691.23317,0.075,20
21,22,Soybeans,2125.435345,136367.8396,136367.8396,0.002,21
22,23,Corn,3890.231027,644685.1379,644685.1379,0.002,22
