"","Tick","MeanEggsLaid","SDEggsLaid","MeanEggsNotLaid","SDEggsNotLaid"
"1",1,36.038,9.59554875971145,13.962,9.59554875971145
"2",2,35.404,8.97133122786134,12.596,8.97133122786134
"3",3,34.46,8.5909487252573,11.54,8.5909487252573
"4",4,32.378,8.28137162552195,11.622,8.28137162552195
"5",5,30.072,8.05647664925555,11.928,8.05647664925555
"6",6,28.424,7.82893504890672,11.576,7.82893504890672
"7",7,26.304,7.46482310574068,11.696,7.46482310574068
"8",8,24.936,7.25175178836121,11.064,7.25175178836121
"9",9,22.908,6.93105590801286,11.092,6.93105590801286
"10",10,20.966,6.98275332515763,11.034,6.98275332515763
